TEAM_CITY,TEAM_NAME,PTS,Delta
Golden State,Warriors,114.9,12.240000000000009
Oklahoma City,Thunder,110.2,7.540000000000006
Sacramento,Kings,106.7,4.040000000000006
Houston,Rockets,106.5,3.8400000000000034
Boston,Celtics,105.6,2.9399999999999977
Portland,Trail Blazers,105.1,2.4399999999999977
Los Angeles,Clippers,104.5,1.8400000000000034
Cleveland,Cavaliers,104.3,1.6400000000000006
Washington,Wizards,104.1,1.4399999999999977
San Antonio,Spurs,103.5,0.8400000000000034
Charlotte,Hornets,103.4,0.7400000000000091
Atlanta,Hawks,102.8,0.14000000000000057
New Orleans,Pelicans,102.7,0.04000000000000625
Toronto,Raptors,102.7,0.04000000000000625
Minnesota,Timberwolves,102.4,-0.2599999999999909
Dallas,Mavericks,102.3,-0.35999999999999943
Indiana,Pacers,102.2,-0.45999999999999375
Detroit,Pistons,102.0,-0.6599999999999966
Orlando,Magic,102.0,-0.6599999999999966
Denver,Nuggets,101.9,-0.7599999999999909
Chicago,Bulls,101.6,-1.0600000000000023
Phoenix,Suns,100.9,-1.759999999999991
Miami,Heat,100.0,-2.6599999999999966
Memphis,Grizzlies,99.1,-3.5600000000000023
Milwaukee,Bucks,99.0,-3.6599999999999966
Brooklyn,Nets,98.6,-4.060000000000002
New York,Knicks,98.4,-4.259999999999991
Utah,Jazz,97.7,-4.959999999999994
Philadelphia,76ers,97.4,-5.259999999999991
Los Angeles,Lakers,97.3,-5.359999999999999
